Index,demand
0,0.08052047
1,0.05454351
2,0.05598923
3,0.06191684
4,0.05880548
5,0.06853427
6,0.05756748
7,0.06321785
8,0.05784195
9,0.06694195
10,0.06204987
11,0.26710194
12,0.27980548
13,0.060919184
14,0.062038735
15,0.057692666
16,0.06843547
17,0.05985685
18,0.056300517
19,0.06556623
20,0.06452745
21,0.055994764
22,0.059876893
23,0.06434037
24,0.5606101
25,0.06489873
26,0.07140733
27,0.05884811
28,0.062554196
29,0.06501663
30,0.06397381
31,0.061393674
32,0.0730616
33,0.06122448
34,0.2615018
35,0.59393615
36,0.066783495
37,0.0634666
38,0.061953265
39,0.05532241
40,0.055136185
41,0.05898228
42,0.06638962
43,0.057363685
44,0.0589154
45,0.067664035
46,0.07545157
47,0.58420604
48,0.06489372
49,0.052132554
50,0.26127765
51,0.05916379
52,0.056649707
53,0.06694195
54,0.06533493
55,0.06763678
56,0.05498208
57,0.05673258
58,0.052132554
59,0.06316067
60,0.06299045
61,0.0634666
62,0.05771943
63,0.061639167
64,0.0593445
65,0.60905904
66,0.060698014
67,0.06295468
68,0.0730616
69,0.054826315
70,0.07231405
71,0.058456577
72,0.0615749
73,0.064226225
74,0.05365574
75,0.055842794
76,0.061769325
77,0.060105477
78,0.0639306
79,0.06348123
80,0.06285065
81,0.06244841
82,0.058952812
83,0.057587016
84,0.06821775
85,0.061958753
86,0.057569336
87,0.6098602
88,0.07060863
89,0.06402381
90,0.06022028
91,0.058389913
92,0.0630822
93,0.058545016
94,0.052453253
95,0.071212746
96,0.07545157
97,0.069964536
98,0.061864942
99,0.06795001
100,0.06489372
101,0.05598923
102,0.059450727
103,0.04080924
104,0.07150312
105,0.060110472
106,0.055842794
107,0.059341203
108,0.54324985
109,0.0564256
110,0.06819849
111,0.06400008
112,0.06424334
113,0.055136185
114,0.057723016
115,0.059098158
116,0.06516543
117,0.059795815
118,0.059865266
119,0.058653288
120,0.060616832
121,0.067910396
122,0.054826315
123,0.058325455
124,0.06191684
125,0.058586493
126,0.058673073
127,0.27650377
128,0.062518954
129,0.059857514
130,0.057725593
131,0.060563974
132,0.05821269
133,0.04967022
134,0.0559861
135,0.06299045
136,0.0582989
137,0.06266786
138,0.28071204
139,0.055994764
140,0.061834447
141,0.06746466
142,0.062554196
143,0.06345426
144,0.05630233
145,0.0679833
146,0.057639387
147,0.060666144
148,0.057684414
149,0.06638962
150,0.0587966
151,0.055910137
152,0.061834447
153,0.0602032
154,0.06131746
155,0.05771943
156,0.266965
157,0.06285971
158,0.059466936
159,0.06703917
160,0.061256737
161,0.058551237
162,0.061505638
163,0.06418751
164,0.60940194
165,0.066512346
166,0.05919306
167,0.061909307
168,0.06181414
169,0.052623197
170,0.07031068
171,0.058963712
172,0.06180852
173,0.05753725
174,0.058456577
175,0.06763678
176,0.05630233
177,0.06094468
178,0.056825116
179,0.0626713
180,0.062638156
181,0.27782512
182,0.47389698
183,0.06635297
184,0.06843547
185,0.060330886
186,0.06273604
187,0.059061304
188,0.060666144
189,0.061834447
190,0.051564652
191,0.058586493
192,0.061256737
193,0.052663818
194,0.057533
195,0.058701005
196,0.057587016
197,0.057723016
198,0.062282212
199,0.05584362
200,0.07042704
201,0.06292356
202,0.06502057
203,0.06770358
204,0.067339346
205,0.053965602
206,0.06145053
207,0.05778263
208,0.058456756
209,0.06839136
210,0.054238543
211,0.05805839
212,0.059068747
213,0.06180852
214,0.058653288
215,0.0561904
216,0.05919203
217,0.06191684
218,0.056270257
219,0.056937303
220,0.0605958
221,0.064492926
222,0.06172208
223,0.0680889
224,0.061480902
225,0.06259898
226,0.058467694
227,0.060486145
228,0.05773141
229,0.06773887
230,0.05833537
231,0.060024504
232,0.05772917
233,0.059876893
234,0.27228045
235,0.061402135
236,0.05673258
237,0.059641127
238,0.060698014
239,0.061722737
240,0.055536345
241,0.06522144
242,0.060919184
243,0.26637214
244,0.05630872
245,0.068095535
246,0.061769325
247,0.058819134
248,0.061565746
249,0.05884811
250,0.06635297
251,0.06555119
252,0.059068747
253,0.06609516
254,0.06288201
255,0.061769325
256,0.062238704
257,0.05454351
258,0.1088115
259,0.057723016
260,0.05821269
261,0.26220936
262,0.062422566
263,0.49867538
264,0.06366372
265,0.062638156
266,0.061864942
267,0.05784195
268,0.0578071
269,0.058638737
270,0.26837522
271,0.061289098
272,0.5720609
273,0.061109897
274,0.07465563
275,0.054127347
276,0.06422016
277,0.06461535
278,0.059997093
279,0.061091255
280,0.07072499
281,0.28197685
282,0.0679833
283,0.061289098
284,0.058524225
285,0.062186174
286,0.060321517
287,0.2656255
288,0.06340041
289,0.08440741
290,0.05899044
291,0.06238709
292,0.555858
293,0.06403809
294,0.06230358
295,0.26700482
296,0.28198817
297,0.062282212
298,0.063003436
299,0.0639419
300,0.06203266
301,0.058294177
302,0.27244106
303,0.05410953
304,0.059094146
305,0.29638413
306,0.26397824
307,0.067910396
308,0.26702547
309,0.5819433
310,0.06191684
311,0.05365574
312,0.053537168
313,0.05353637
314,0.058157448
315,0.056754973
316,0.55462104
317,0.06031092
318,0.06489372
319,0.55304
320,0.059466936
321,0.05772917
322,0.27653733
323,0.05630872
324,0.058462266
325,0.059641127
326,0.055241667
327,0.057728216
328,0.059608296
329,0.06556623
330,0.062422566
331,0.06821775
332,0.057382606
333,0.26182187
334,0.26220936
335,0.063145965
336,0.062172573
337,0.26659736
338,0.2749753
339,0.062638156
340,0.4979903
341,0.5429685
342,0.26493657
343,0.060563974
344,0.06853427
345,0.061601475
346,0.05598923
347,0.06526026
348,0.062422566
349,0.06489169
350,0.058407392
351,0.062217455
352,0.06452745
353,0.08440741
354,0.05355641
355,0.0634666
356,0.0609406
357,0.058673073
358,0.059094146
359,0.059098158
360,0.059255328
361,0.061171792
362,0.27606502
363,0.060024504
364,0.056248516
365,0.56379706
366,0.51838905
367,0.54530394
368,0.057415087
369,0.062289562
370,0.061909307
371,0.060195263
372,0.26719192
373,0.05919306
374,0.06461535
375,0.06489169
376,0.06344074
377,0.058819134
378,0.06106333
379,0.05771415
380,0.065800466
381,0.26397824
382,0.05875054
383,0.06203266
384,0.060547944
385,0.06397381
386,0.06843547
387,0.07704014
388,0.067037456
389,0.05919306
390,0.059098158
391,0.06229012
392,0.06466463
393,0.07545157
394,0.5701004
395,0.5864911
396,0.5722471
397,0.062554196
398,0.0697078
399,0.05536923
400,0.059179787
401,0.2675217
402,0.06555119
403,0.06174477
404,0.058462266
405,0.071135804
406,0.059997093
407,0.26805228
408,0.06272574
409,0.55861497
410,0.2668277
411,0.0626821
412,0.05652333
413,0.067910396
414,0.054435022
415,0.06351448
416,0.05504351
417,0.06226543
418,0.059094146
419,0.06614692
420,0.056494057
421,0.057663344
422,0.059865266
423,0.06469067
424,0.53416723
425,0.58235115
426,0.57717735
427,0.07150312
428,0.05793249
429,0.2730775
430,0.05875054
431,0.06547722
432,0.05532241
433,0.064226225
434,0.061393674
435,0.053924236
436,0.059990317
437,0.05773141
438,0.55705744
439,0.6331551
440,0.069511294
441,0.05916379
442,0.058389913
443,0.2757891
444,0.06107525
445,0.2693494
446,0.06131015
447,0.07226805
448,0.060024504
449,0.057379354
450,0.052623197
451,0.059992637
452,0.060158726
453,0.26768705
454,0.55593187
455,0.06288475
456,0.06074837
457,0.062050007
458,0.27555516
459,0.06627473
460,0.26941636
461,0.06627473
462,0.06556623
463,0.05805988
464,0.064492926
465,0.060919184
466,0.058456756
467,0.063145965
468,0.28031522
469,0.56300205
470,0.52686465
471,0.53049093
472,0.065330766
473,0.058819134
474,0.3032068
475,0.5472615
476,0.05753725
477,0.07513271
478,0.065330766
479,0.065547794
480,0.27423996
481,0.06322546
482,0.056130953
483,0.27319255
484,0.2688907
485,0.24181898
486,0.5179976
487,0.063702576
488,0.06254656
489,0.066547245
490,0.2700567
491,0.0615749
492,0.065083295
493,0.532129
494,0.07026475
495,0.0589154
496,0.061091255
497,0.05227204
498,0.059212282
499,0.26397824
500,0.52188665
501,0.5219638
502,0.5452898
503,0.55396277
504,0.058673073
505,0.06384692
506,0.2595914
507,0.05919203
508,0.06299045
509,0.060024504
510,0.058608938
511,0.06295468
512,0.06273986
513,0.060621325
514,0.6325085
515,0.060178775
516,0.095909506
517,0.052663818
518,0.059397627
519,0.05907987
520,0.051614877
521,0.05648802
522,0.052778415
523,0.057725593
524,0.061769325
525,0.05898228
526,0.06626938
527,0.061091255
528,0.062391907
529,0.5962559
530,0.50762665
531,0.5274079
532,0.511771
533,0.60753024
534,0.06048847
535,0.059608296
536,0.057457943
537,0.05673258
538,0.06181414
539,0.057639387
540,0.05898228
541,0.05454351
542,0.05778263
543,0.060616832
544,0.059466936
545,0.052453253
546,0.06443662
547,0.059356797
548,0.06434037
549,0.052353542
550,0.057363685
551,0.05672343
552,0.063155
553,0.07465563
554,0.06601374
555,0.061957974
556,0.05947742
557,0.26673707
558,0.6178321
559,0.60417366
560,0.53537494
561,0.6806296
562,0.6056679
563,0.059098158
564,0.060195263
565,0.063747354
566,0.057639387
567,0.06830361
568,0.07031068
569,0.05941722
570,0.55436814
571,0.062638156
572,0.059990317
573,0.05962544
574,0.06533493
575,0.060669575
576,0.06320638
577,0.05630233
578,0.07140733
579,0.057382606
580,0.061722737
581,0.059916794
582,0.064941235
583,0.05598923
584,0.06322546
585,0.60471016
586,0.59042215
587,0.27851835
588,0.5730523
589,0.5429685
590,0.60089767
591,0.0691974
592,0.057728216
593,0.067007616
594,0.065152675
595,0.060195263
596,0.05784195
597,0.06288201
598,0.054769076
599,0.5334973
600,0.061068922
601,0.27389815
602,0.057327177
603,0.06276138
604,0.059179787
605,0.06127885
606,0.27650377
607,0.05646077
608,0.06244841
609,0.06204987
610,0.06154317
611,0.557161
612,0.5546956
613,0.26580644
614,0.06130594
615,0.57769173
616,0.056649707
617,0.069851294
618,0.06491315
619,0.0626713
620,0.06273604
621,0.05916379
622,0.25311542
623,0.06274409
624,0.27548015
625,0.059916794
626,0.06320638
627,0.06131746
628,0.05450852
629,0.060393155
630,0.059134834
631,0.053924236
632,0.055549126
633,0.27745405
634,0.28114876
635,0.06323959
636,0.054970242
637,0.062038735
638,0.06047312
639,0.050740495
640,0.062101077
641,0.06556623
642,0.27216846
643,0.057587016
644,0.056754973
645,0.09518938
646,0.075799376
647,0.05987951
648,0.05753725
649,0.052631713
650,0.054435022
651,0.061565746
652,0.06204911
653,0.063031994
654,0.06384692
655,0.06148436
656,0.06229012
657,0.05984336
658,0.56181043
659,0.59406334
660,0.05888172
661,0.062903196
662,0.061898645
663,0.059183735
664,0.06509695
665,0.06006334
666,0.057728216
667,0.060710736
668,0.052623197
669,0.05941722
670,0.058157448
671,0.0594004
672,0.062856786
673,0.05898228
674,0.25390556
675,0.06763678
676,0.059450727
677,0.058586374
678,0.062152978
679,0.060842626
680,0.27367762
681,0.066547245
682,0.06191684
683,0.071212746
684,0.0601032
685,0.06702318
686,0.062089063
687,0.061984885
688,0.064870454
689,0.057723016
690,0.060117792
691,0.05825593
692,0.26831967
693,0.06770358
694,0.06560807
695,0.28198817
696,0.06469067
697,0.06555119
698,0.057591535
699,0.06126876
700,0.062038735
701,0.58690107
702,0.060493547
703,0.05403417
704,0.05598923
705,0.06830361
706,0.062518954
707,0.064492926
708,0.06272574
709,0.06228891
710,0.055547837
711,0.06614692
712,0.055537973
713,0.05862694
714,0.065100804
715,0.061256737
716,0.06480067
717,0.06206608
718,0.057773337
719,0.052631713
720,0.06285971
721,0.059450727
722,0.072131686
723,0.2693166
724,0.5526421
725,0.2626332
726,0.06614692
727,0.04080924
728,0.06226543
729,0.052453253
730,0.060666144
731,0.05899044
732,0.62158054
733,0.06556623
734,0.05833537
735,0.058586374
736,0.06030879
737,0.07513271
738,0.072131686
739,0.51809937
740,0.057457943
741,0.058718577
742,0.06885481
743,0.06228891
744,0.05862694
745,0.0748693
746,0.067007616
747,0.06461535
748,0.061480902
749,0.056249008
750,0.06839136
751,0.057587016
752,0.05406824
753,0.059666187
754,0.065152675
755,0.06174477
756,0.067339346
757,0.064126745
758,0.06354336
759,0.058605917
760,0.06450424
