Index,demand
0,0.060286930986395204
1,0.04670696087380899
2,0.050454055200448225
3,0.09407842365051783
4,0.06972982089868085
5,0.08967381911113759
6,0.026541853611320623
7,0.06012703455287721
8,0.06098276527525825
9,0.06353031909778203
10,0.07294186546674222
11,0.26966628859158054
12,0.28803494280948816
13,0.02700320096670809
14,0.057175117002926705
15,0.059388204436551996
16,0.04507317344755466
17,0.05425813069013909
18,0.046831204401705184
19,0.06950738045881272
20,0.05867021848079492
21,0.03727380540307235
22,0.045921670761470086
23,0.11009925852407981
24,0.6969866833649507
25,0.06031641249455446
26,0.1020220875463547
27,0.07522417693920029
28,0.05979936964245053
29,0.044253289180711
30,0.05422404705173921
31,0.11064935909654566
32,0.06611411909392809
33,0.06053223567034651
34,0.2745443580917828
35,0.695769944080092
36,0.09287257234512065
37,0.09361276584077177
38,0.07682829754921267
39,0.035290236004095095
40,0.04406012948248166
41,0.04474810089655015
42,0.06188005537052212
43,0.043134418340414676
44,0.07197634425698449
45,0.12081581319509595
46,0.10863659031905228
47,0.6615951748382893
48,0.06600798941003322
49,0.053263275466778504
50,0.2785753854523804
51,0.05497660616989509
52,0.0637683560179434
53,0.051231815852708536
54,0.043069356052997644
55,0.08572950013430199
56,0.026077656428310673
57,0.05344675563796171
58,0.08947940926060118
59,0.07319363812301756
60,0.06452508976491343
61,0.08821405948159608
62,0.05609849719283633
63,0.04944148248821847
64,0.06682485939797372
65,0.6083414492447657
66,0.06191622857323911
67,0.07440119404903911
68,0.0758044752014413
69,0.05537620075549309
70,0.061563119627627
71,0.053032199323706744
72,0.04268944628932989
73,0.06148191742854592
74,0.07044693333589566
75,0.047267496832925304
76,0.057842792044509296
77,0.06748277078906126
78,0.10061226274220558
79,0.06419711621797398
80,0.07930215663667115
81,0.09767700126687606
82,0.10002020636540304
83,0.03378107350581484
84,0.08102700134221047
85,0.06567780380256724
86,0.05077142544064497
87,0.5758010040461419
88,0.07964031110360799
89,0.061514213801056976
90,0.0725264110750476
91,0.05237999576216444
92,0.06768195353498571
93,0.032361993452813764
94,0.04218261750183003
95,0.0627377301909986
96,0.1267130453503962
97,0.10647250754354154
98,0.06708993085672332
99,0.10797899155105639
100,0.05194448229284332
101,0.06731505953790307
102,0.07381476657171625
103,0.06362460550520829
104,0.10113970894572812
105,0.05745705882510322
106,0.04696014403067476
107,0.03545793027094225
108,0.49971282335053396
109,0.04486111222267798
110,0.11969397853730528
111,0.05874346288262165
112,0.05414565463547918
113,0.045818092312454026
114,0.05108969879259093
115,0.07643189062060539
116,0.05755400217102044
117,0.05388845816496093
118,0.04918751868556865
119,0.07396398140006531
120,0.055002716576012856
121,0.10910356911040565
122,0.058828904847596585
123,0.05693339612239298
124,0.09407842365051783
125,0.07464547352223196
126,0.07490333062580685
127,0.27932502774543594
128,0.05413527120549775
129,0.1652006670574471
130,0.03312697087213074
131,0.12069737490623511
132,0.09016088304871774
133,0.027467422108539644
134,0.03468720527745728
135,0.08050755929844583
136,0.059259657366173966
137,0.06743433219959218
138,0.28596211326518695
139,0.033059809993872834
140,0.047033650482000235
141,0.0841662149058625
142,0.0762255101012499
143,0.03893360759843576
144,0.0461110053265224
145,0.08455529330656747
146,0.04178592695990115
147,0.05592352368622415
148,0.03738489440456836
149,0.06474083090337977
150,0.04174496842776722
151,0.0845758327010941
152,0.05450224580981127
153,0.06577392474808756
154,0.0806691222856553
155,0.05609849719283633
156,0.26552747977645197
157,0.05567799511970646
158,0.048001852492628935
159,0.07447185328188072
160,0.07056399980613211
161,0.030016559609078838
162,0.05169746241197036
163,0.04748213972723546
164,0.633011721750855
165,0.09944826798905215
166,0.09600013845904244
167,0.061266917178455664
168,0.03607527646558769
169,0.042551497697763424
170,0.08980667459689565
